model,problem_id,layer,cosine_similarity
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,16,0.9693953394889832
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,17,0.9643515348434448
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,18,0.9633737206459045
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,19,0.9643958210945129
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,20,0.9604016542434692
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,21,0.9706730246543884
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,22,0.9897928237915039
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,23,0.9890686273574829
Qwen/Qwen2.5-0.5B-Instruct,multistep_2,24,0.9729390740394592
EleutherAI/pythia-410m,arithmetic_1,0,0.9765416383743286
EleutherAI/pythia-410m,arithmetic_1,1,0.9941868782043457
EleutherAI/pythia-410m,arithmetic_1,2,0.9945484399795532
EleutherAI/pythia-410m,arithmetic_1,3,0.9959349036216736
EleutherAI/pythia-410m,arithmetic_1,4,0.9939097762107849
EleutherAI/pythia-410m,arithmetic_1,5,0.9935947060585022
EleutherAI/pythia-410m,arithmetic_1,6,0.9820518493652344
EleutherAI/pythia-410m,arithmetic_1,7,0.9828696250915527
EleutherAI/pythia-410m,arithmetic_1,8,0.9858694672584534
EleutherAI/pythia-410m,arithmetic_1,9,0.9871631264686584
EleutherAI/pythia-410m,arithmetic_1,10,0.9885429739952087
EleutherAI/pythia-410m,arithmetic_1,11,0.989136278629303
EleutherAI/pythia-410m,arithmetic_1,12,0.9893659949302673
EleutherAI/pythia-410m,arithmetic_1,13,0.9898883700370789
EleutherAI/pythia-410m,arithmetic_1,14,0.9899582862854004
EleutherAI/pythia-410m,arithmetic_1,15,0.9902371168136597
EleutherAI/pythia-410m,arithmetic_1,16,0.9904353022575378
EleutherAI/pythia-410m,arithmetic_1,17,0.9893327951431274
EleutherAI/pythia-410m,arithmetic_1,18,0.9887073636054993
EleutherAI/pythia-410m,arithmetic_1,19,0.9893813133239746
EleutherAI/pythia-410m,arithmetic_1,20,0.9903833270072937
EleutherAI/pythia-410m,arithmetic_1,21,0.9905375838279724
EleutherAI/pythia-410m,arithmetic_1,22,0.9913454055786133
EleutherAI/pythia-410m,arithmetic_1,23,0.9921650886535645
EleutherAI/pythia-410m,arithmetic_1,24,0.9840160012245178
EleutherAI/pythia-410m,arithmetic_2,0,0.9586869478225708
EleutherAI/pythia-410m,arithmetic_2,1,0.9878722429275513
EleutherAI/pythia-410m,arithmetic_2,2,0.9870912432670593
EleutherAI/pythia-410m,arithmetic_2,3,0.9902843236923218
EleutherAI/pythia-410m,arithmetic_2,4,0.9858957529067993
EleutherAI/pythia-410m,arithmetic_2,5,0.9832563400268555
EleutherAI/pythia-410m,arithmetic_2,6,0.9497504234313965
EleutherAI/pythia-410m,arithmetic_2,7,0.9548771381378174
EleutherAI/pythia-410m,arithmetic_2,8,0.9628431797027588
EleutherAI/pythia-410m,arithmetic_2,9,0.9687084555625916
EleutherAI/pythia-410m,arithmetic_2,10,0.9711958765983582
EleutherAI/pythia-410m,arithmetic_2,11,0.973720908164978
EleutherAI/pythia-410m,arithmetic_2,12,0.974420964717865
EleutherAI/pythia-410m,arithmetic_2,13,0.9753875136375427
EleutherAI/pythia-410m,arithmetic_2,14,0.975838303565979
EleutherAI/pythia-410m,arithmetic_2,15,0.9767402410507202
EleutherAI/pythia-410m,arithmetic_2,16,0.9769328832626343
EleutherAI/pythia-410m,arithmetic_2,17,0.9771531820297241
EleutherAI/pythia-410m,arithmetic_2,18,0.9749938249588013
EleutherAI/pythia-410m,arithmetic_2,19,0.9760950803756714
EleutherAI/pythia-410m,arithmetic_2,20,0.9789944887161255
EleutherAI/pythia-410m,arithmetic_2,21,0.9817219376564026
EleutherAI/pythia-410m,arithmetic_2,22,0.9823871850967407
EleutherAI/pythia-410m,arithmetic_2,23,0.9839060306549072
EleutherAI/pythia-410m,arithmetic_2,24,0.971641480922699
EleutherAI/pythia-410m,logic_1,0,0.9797029495239258
EleutherAI/pythia-410m,logic_1,1,0.9940661191940308
EleutherAI/pythia-410m,logic_1,2,0.9946007132530212
EleutherAI/pythia-410m,logic_1,3,0.996405303478241
EleutherAI/pythia-410m,logic_1,4,0.9948409795761108
EleutherAI/pythia-410m,logic_1,5,0.9943814277648926
EleutherAI/pythia-410m,logic_1,6,0.9812665581703186
EleutherAI/pythia-410m,logic_1,7,0.9810072779655457
EleutherAI/pythia-410m,logic_1,8,0.9840908646583557
EleutherAI/pythia-410m,logic_1,9,0.9861465096473694
EleutherAI/pythia-410m,logic_1,10,0.986912190914154
EleutherAI/pythia-410m,logic_1,11,0.9877291917800903
EleutherAI/pythia-410m,logic_1,12,0.9886640310287476
EleutherAI/pythia-410m,logic_1,13,0.9890236854553223
EleutherAI/pythia-410m,logic_1,14,0.9892194271087646
EleutherAI/pythia-410m,logic_1,15,0.9899399280548096
EleutherAI/pythia-410m,logic_1,16,0.9900155663490295
EleutherAI/pythia-410m,logic_1,17,0.9876202940940857
EleutherAI/pythia-410m,logic_1,18,0.9905850291252136
EleutherAI/pythia-410m,logic_1,19,0.9922761917114258
EleutherAI/pythia-410m,logic_1,20,0.9907886981964111
EleutherAI/pythia-410m,logic_1,21,0.9920560717582703
EleutherAI/pythia-410m,logic_1,22,0.9917427897453308
EleutherAI/pythia-410m,logic_1,23,0.9905919432640076
EleutherAI/pythia-410m,logic_1,24,0.9812183976173401
EleutherAI/pythia-410m,logic_2,0,0.9757922291755676
EleutherAI/pythia-410m,logic_2,1,0.9939501881599426
EleutherAI/pythia-410m,logic_2,2,0.9943116903305054
EleutherAI/pythia-410m,logic_2,3,0.9961583018302917
EleutherAI/pythia-410m,logic_2,4,0.9947249889373779
EleutherAI/pythia-410m,logic_2,5,0.9939572215080261
EleutherAI/pythia-410m,logic_2,6,0.9789377450942993
EleutherAI/pythia-410m,logic_2,7,0.9801098704338074
EleutherAI/pythia-410m,logic_2,8,0.9835123419761658
EleutherAI/pythia-410m,logic_2,9,0.9857775568962097
EleutherAI/pythia-410m,logic_2,10,0.9868950843811035
EleutherAI/pythia-410m,logic_2,11,0.9879170060157776
EleutherAI/pythia-410m,logic_2,12,0.9884887933731079
EleutherAI/pythia-410m,logic_2,13,0.9887107014656067
EleutherAI/pythia-410m,logic_2,14,0.9887464642524719
EleutherAI/pythia-410m,logic_2,15,0.98895663022995
EleutherAI/pythia-410m,logic_2,16,0.9892469048500061
EleutherAI/pythia-410m,logic_2,17,0.9874224662780762
EleutherAI/pythia-410m,logic_2,18,0.9888381361961365
EleutherAI/pythia-410m,logic_2,19,0.9904757738113403
EleutherAI/pythia-410m,logic_2,20,0.9907968044281006
EleutherAI/pythia-410m,logic_2,21,0.9923470616340637
EleutherAI/pythia-410m,logic_2,22,0.991904079914093
EleutherAI/pythia-410m,logic_2,23,0.9920057058334351
EleutherAI/pythia-410m,logic_2,24,0.9827261567115784
EleutherAI/pythia-410m,probability_1,0,0.9676318764686584
EleutherAI/pythia-410m,probability_1,1,0.9906463623046875
EleutherAI/pythia-410m,probability_1,2,0.9902199506759644
EleutherAI/pythia-410m,probability_1,3,0.9930073618888855
EleutherAI/pythia-410m,probability_1,4,0.9902788996696472
EleutherAI/pythia-410m,probability_1,5,0.9893945455551147
EleutherAI/pythia-410m,probability_1,6,0.9699959754943848
EleutherAI/pythia-410m,probability_1,7,0.9728174805641174
EleutherAI/pythia-410m,probability_1,8,0.9788355827331543
EleutherAI/pythia-410m,probability_1,9,0.9825553297996521
EleutherAI/pythia-410m,probability_1,10,0.9831861853599548
EleutherAI/pythia-410m,probability_1,11,0.9844015836715698
EleutherAI/pythia-410m,probability_1,12,0.9857635498046875
EleutherAI/pythia-410m,probability_1,13,0.9860395193099976
EleutherAI/pythia-410m,probability_1,14,0.9859635829925537
EleutherAI/pythia-410m,probability_1,15,0.9869505763053894
EleutherAI/pythia-410m,probability_1,16,0.9878324866294861
EleutherAI/pythia-410m,probability_1,17,0.9867428541183472
EleutherAI/pythia-410m,probability_1,18,0.9869973063468933
EleutherAI/pythia-410m,probability_1,19,0.9890469312667847
EleutherAI/pythia-410m,probability_1,20,0.9888496994972229
EleutherAI/pythia-410m,probability_1,21,0.9906305074691772
EleutherAI/pythia-410m,probability_1,22,0.9899224042892456
EleutherAI/pythia-410m,probability_1,23,0.9884667992591858
EleutherAI/pythia-410m,probability_1,24,0.9776484966278076
EleutherAI/pythia-410m,probability_2,0,0.9779553413391113
EleutherAI/pythia-410m,probability_2,1,0.9941345453262329
EleutherAI/pythia-410m,probability_2,2,0.9946436882019043
EleutherAI/pythia-410m,probability_2,3,0.9963073134422302
EleutherAI/pythia-410m,probability_2,4,0.9946051836013794
EleutherAI/pythia-410m,probability_2,5,0.9941796064376831
EleutherAI/pythia-410m,probability_2,6,0.9832591414451599
EleutherAI/pythia-410m,probability_2,7,0.9839330911636353
EleutherAI/pythia-410m,probability_2,8,0.9870619773864746
EleutherAI/pythia-410m,probability_2,9,0.9886329770088196
EleutherAI/pythia-410m,probability_2,10,0.9889044761657715
EleutherAI/pythia-410m,probability_2,11,0.9898157715797424
EleutherAI/pythia-410m,probability_2,12,0.9903154373168945
EleutherAI/pythia-410m,probability_2,13,0.9906779527664185
EleutherAI/pythia-410m,probability_2,14,0.9899585843086243
EleutherAI/pythia-410m,probability_2,15,0.9906374216079712
EleutherAI/pythia-410m,probability_2,16,0.9907829165458679
EleutherAI/pythia-410m,probability_2,17,0.9904137849807739
EleutherAI/pythia-410m,probability_2,18,0.990073025226593
EleutherAI/pythia-410m,probability_2,19,0.991267204284668
EleutherAI/pythia-410m,probability_2,20,0.9910343289375305
EleutherAI/pythia-410m,probability_2,21,0.9929230213165283
EleutherAI/pythia-410m,probability_2,22,0.993571937084198
EleutherAI/pythia-410m,probability_2,23,0.9928560256958008
EleutherAI/pythia-410m,probability_2,24,0.9858571887016296
EleutherAI/pythia-410m,word_1,0,0.9800424575805664
EleutherAI/pythia-410m,word_1,1,0.9945692420005798
EleutherAI/pythia-410m,word_1,2,0.9946264028549194
EleutherAI/pythia-410m,word_1,3,0.9961628913879395
EleutherAI/pythia-410m,word_1,4,0.9946069121360779
EleutherAI/pythia-410m,word_1,5,0.9940974712371826
EleutherAI/pythia-410m,word_1,6,0.9827208518981934
EleutherAI/pythia-410m,word_1,7,0.9835755228996277
EleutherAI/pythia-410m,word_1,8,0.9867440462112427
EleutherAI/pythia-410m,word_1,9,0.9881165623664856
EleutherAI/pythia-410m,word_1,10,0.9887661933898926
EleutherAI/pythia-410m,word_1,11,0.9896988868713379
EleutherAI/pythia-410m,word_1,12,0.9902547001838684
EleutherAI/pythia-410m,word_1,13,0.9905949234962463
EleutherAI/pythia-410m,word_1,14,0.9901758432388306
EleutherAI/pythia-410m,word_1,15,0.9912562966346741
EleutherAI/pythia-410m,word_1,16,0.991386353969574
EleutherAI/pythia-410m,word_1,17,0.9910619854927063
EleutherAI/pythia-410m,word_1,18,0.9914465546607971
EleutherAI/pythia-410m,word_1,19,0.9919474720954895
EleutherAI/pythia-410m,word_1,20,0.9917357563972473
EleutherAI/pythia-410m,word_1,21,0.9929118752479553
EleutherAI/pythia-410m,word_1,22,0.9929276704788208
EleutherAI/pythia-410m,word_1,23,0.9932844042778015
EleutherAI/pythia-410m,word_1,24,0.9873601198196411
EleutherAI/pythia-410m,word_2,0,0.9827139377593994
EleutherAI/pythia-410m,word_2,1,0.9955648183822632
EleutherAI/pythia-410m,word_2,2,0.9954792261123657
EleutherAI/pythia-410m,word_2,3,0.996684730052948
EleutherAI/pythia-410m,word_2,4,0.9950201511383057
EleutherAI/pythia-410m,word_2,5,0.994490921497345
EleutherAI/pythia-410m,word_2,6,0.9823331236839294
EleutherAI/pythia-410m,word_2,7,0.9844199419021606
EleutherAI/pythia-410m,word_2,8,0.9880182147026062
EleutherAI/pythia-410m,word_2,9,0.9894906878471375
EleutherAI/pythia-410m,word_2,10,0.9900979399681091
EleutherAI/pythia-410m,word_2,11,0.9909957647323608
EleutherAI/pythia-410m,word_2,12,0.9915356040000916
EleutherAI/pythia-410m,word_2,13,0.9916971325874329
EleutherAI/pythia-410m,word_2,14,0.991945207118988
EleutherAI/pythia-410m,word_2,15,0.9911635518074036
EleutherAI/pythia-410m,word_2,16,0.9914363026618958
EleutherAI/pythia-410m,word_2,17,0.9915915727615356
EleutherAI/pythia-410m,word_2,18,0.9921345710754395
EleutherAI/pythia-410m,word_2,19,0.9927713871002197
EleutherAI/pythia-410m,word_2,20,0.9929267764091492
EleutherAI/pythia-410m,word_2,21,0.9933667778968811
EleutherAI/pythia-410m,word_2,22,0.9926232099533081
EleutherAI/pythia-410m,word_2,23,0.9932608008384705
EleutherAI/pythia-410m,word_2,24,0.9858279228210449
EleutherAI/pythia-410m,multistep_1,0,0.9812792539596558
EleutherAI/pythia-410m,multistep_1,1,0.9951463937759399
EleutherAI/pythia-410m,multistep_1,2,0.9953776597976685
EleutherAI/pythia-410m,multistep_1,3,0.996744692325592
EleutherAI/pythia-410m,multistep_1,4,0.9953538775444031
EleutherAI/pythia-410m,multistep_1,5,0.9952148795127869
EleutherAI/pythia-410m,multistep_1,6,0.9850756525993347
EleutherAI/pythia-410m,multistep_1,7,0.9835748672485352
EleutherAI/pythia-410m,multistep_1,8,0.9855950474739075
EleutherAI/pythia-410m,multistep_1,9,0.9868558645248413
EleutherAI/pythia-410m,multistep_1,10,0.9873377084732056
EleutherAI/pythia-410m,multistep_1,11,0.9887043237686157
EleutherAI/pythia-410m,multistep_1,12,0.9892430305480957
EleutherAI/pythia-410m,multistep_1,13,0.9895157814025879
EleutherAI/pythia-410m,multistep_1,14,0.9904356598854065
EleutherAI/pythia-410m,multistep_1,15,0.9904980659484863
EleutherAI/pythia-410m,multistep_1,16,0.9907707571983337
EleutherAI/pythia-410m,multistep_1,17,0.9892498850822449
EleutherAI/pythia-410m,multistep_1,18,0.9901763200759888
EleutherAI/pythia-410m,multistep_1,19,0.9912193417549133
EleutherAI/pythia-410m,multistep_1,20,0.991489827632904
EleutherAI/pythia-410m,multistep_1,21,0.9923271536827087
EleutherAI/pythia-410m,multistep_1,22,0.9929904341697693
EleutherAI/pythia-410m,multistep_1,23,0.9927420020103455
EleutherAI/pythia-410m,multistep_1,24,0.985444962978363
EleutherAI/pythia-410m,multistep_2,0,0.9836104512214661
EleutherAI/pythia-410m,multistep_2,1,0.9956135153770447
EleutherAI/pythia-410m,multistep_2,2,0.9957274198532104
EleutherAI/pythia-410m,multistep_2,3,0.9968786239624023
EleutherAI/pythia-410m,multistep_2,4,0.995288074016571
EleutherAI/pythia-410m,multistep_2,5,0.9947430491447449
EleutherAI/pythia-410m,multistep_2,6,0.9854455590248108
EleutherAI/pythia-410m,multistep_2,7,0.9854077100753784
EleutherAI/pythia-410m,multistep_2,8,0.9884194135665894
EleutherAI/pythia-410m,multistep_2,9,0.990437388420105
EleutherAI/pythia-410m,multistep_2,10,0.9911366701126099
EleutherAI/pythia-410m,multistep_2,11,0.9917793869972229
EleutherAI/pythia-410m,multistep_2,12,0.9919456839561462
EleutherAI/pythia-410m,multistep_2,13,0.9919207096099854
EleutherAI/pythia-410m,multistep_2,14,0.991226851940155
EleutherAI/pythia-410m,multistep_2,15,0.9916884303092957
EleutherAI/pythia-410m,multistep_2,16,0.9917445778846741
EleutherAI/pythia-410m,multistep_2,17,0.9922894239425659
EleutherAI/pythia-410m,multistep_2,18,0.9918470978736877
EleutherAI/pythia-410m,multistep_2,19,0.9923067688941956
EleutherAI/pythia-410m,multistep_2,20,0.9923121929168701
EleutherAI/pythia-410m,multistep_2,21,0.9934940338134766
EleutherAI/pythia-410m,multistep_2,22,0.994006872177124
EleutherAI/pythia-410m,multistep_2,23,0.9935367107391357
EleutherAI/pythia-410m,multistep_2,24,0.9886535406112671
